"station","start_time","end_time","peak_level_cm","peak_time","duration_min","avg_gradient_cm_min","event_type","points_count","total_precip_mm","max_intensity_mm_h","openmeteo_verified","dwd_risk_level","radolan_verified","level_reliable"
"Königsallee_Springorum","2026/02/23 21:53:00","2026/02/24 06:34:00",0.6,"2026/02/23 21:56:00",521,0.194,"Leichter Regen / Unterhalb DWD-Schwelle",522,2.82,1.56,NA,NA,TRUE,NA
"An_der_Kost","2026/02/23 21:56:00","2026/02/24 04:06:00",0.5,"2026/02/24 03:24:00",370,0.002,"Leichter Regen / Unterhalb DWD-Schwelle",371,1.99,1.56,NA,NA,TRUE,NA
"An_der_Kost","2026/02/23 22:16:00","2026/02/24 03:36:00",0.5,"2026/02/24 03:24:00",320,0.002,"Leichter Regen / Unterhalb DWD-Schwelle",321,1.71,1.56,NA,NA,TRUE,NA
"An_der_Kost","2026/02/24 03:18:00","2026/02/24 03:29:00",0.5,"2026/02/24 03:24:00",11,0.082,"Leichter Regen / Unterhalb DWD-Schwelle",12,1.14,1.08,NA,NA,TRUE,NA
"Wasserstraße_Springorum","2026/03/11 05:51:30","2026/03/11 12:06:00",6.5,"2026/03/11 11:31:30",374.5,0.019,"Regenereignis / Natürlich",750,1.01,4.8,NA,NA,TRUE,NA
"Wasserstraße_Springorum","2026/03/11 11:20:30","2026/03/11 12:06:00",6,"2026/03/11 11:31:30",45.5,0.541,"Sturzflut-Ereignis",92,0.35,0.6,NA,NA,TRUE,NA
"Königsallee_Springorum","2026/03/11 12:03:30","2026/03/11 12:22:00",0.6,"2026/03/11 12:17:30",18.5,0.043,"Leichter Regen / Unterhalb DWD-Schwelle",38,0.39,0.6,NA,NA,TRUE,NA
"An_der_Kost","2026/03/11 13:17:30","2026/03/11 14:50:30",0.3,"2026/03/11 14:14:30",93,0.005,"Leichter Regen / Unterhalb DWD-Schwelle",187,2.91,2.52,NA,NA,TRUE,NA
"An_der_Kost","2026/03/13 10:40:00","2026/03/13 16:06:30",0.5,"2026/03/13 13:20:00",326.5,0.003,"Leichter Regen / Unterhalb DWD-Schwelle",654,1.05,3.12,NA,NA,TRUE,NA
"An_der_Kost","2026/03/13 17:08:00","2026/03/13 21:44:30",0.3,"2026/03/13 17:31:00",276.5,0.013,"Leichter Regen / Unterhalb DWD-Schwelle",554,8.81,4.2,NA,NA,TRUE,NA
"Königsallee_Springorum","2026/03/14 04:18:30","2026/03/14 04:39:30",0.5,"2026/03/14 04:24:00",21,0.089,"Leichter Regen / Unterhalb DWD-Schwelle",43,1.8,1.44,NA,NA,TRUE,NA
